concept_name,concept_code,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,target_concept_id,relationship_id,reverese_relationship_id,concept_name_con,domain_id,vocab_id,concept_class_id,standard
Vancomycin,Vancomycin HCl 1GM FROZ. BAG,2000010020,mimiciv_drug_ndc,Drug,Prescription Drug,1707687,Maps to,Mapped from,vancomycin,Drug,RxNorm,Ingredient,S
Theophylline 300 MG,theophylline ER 300 mg 12 hr Tab,2000010021,mimiciv_drug_ndc,Drug,Prescription Drug,1237217,Maps to,Mapped from,theophylline 300 MG,Drug,RxNorm,Clinical Drug Comp,S
Lorazepam,Lorazepam,2000010022,mimiciv_drug_ndc,Drug,Prescription Drug,791967,Maps to,Mapped from,lorazepam,Drug,RxNorm,Ingredient,S
Iloprost,Iloprost 10 mcg,2000010023,mimiciv_drug_ndc,Drug,Prescription Drug,1344992,Maps to,Mapped from,iloprost,Drug,RxNorm,Ingredient,S
Betamethasone 0.25 MG/ML,Betamethasone 0.5mg/2mL,2000010024,mimiciv_drug_ndc,Drug,Prescription Drug,920869,Maps to,Mapped from,betamethasone 0.25 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
Methylphenidate Hydrochloride 54 MG [Concerta],Concerta (methylphenidate) 54mg,2000010025,mimiciv_drug_ndc,Drug,Prescription Drug,40236493,Maps to,Mapped from,methylphenidate hydrochloride 54 MG [Concerta],Drug,RxNorm,Branded Drug Comp,S
Acetylcysteine 600 MG,acetylcysteine 600mg,2000010026,mimiciv_drug_ndc,Drug,Prescription Drug,1139058,Maps to,Mapped from,acetylcysteine 600 MG,Drug,RxNorm,Clinical Drug Comp,S
Acetylcysteine 600 MG,NAC (N-acetyl-L-cysteine 600 mg Cap,2000010027,mimiciv_drug_ndc,Drug,Prescription Drug,1139058,Maps to,Mapped from,acetylcysteine 600 MG,Drug,RxNorm,Clinical Drug Comp,S
Tetanus immune globulin,tetanus immune globulin tetanus immune globulin,2000010028,mimiciv_drug_ndc,Drug,Prescription Drug,35604680,Maps to,Mapped from,tetanus immune globulin,Drug,RxNorm,Ingredient,S
Diphenhydramine,DiphenhydrAMINE,2000010029,mimiciv_drug_ndc,Drug,Prescription Drug,1129625,Maps to,Mapped from,diphenhydramine,Drug,RxNorm,Ingredient,S
FLUOROMETHOLONE ACETATE 1 MG/ML Ophthalmic Suspension [Flarex],Flarex 0.1 % Eye Drops,2000010030,mimiciv_drug_ndc,Drug,Prescription Drug,42708921,Maps to,Mapped from,fluorometholone acetate 1 MG/ML Ophthalmic Suspension [Flarex],Drug,RxNorm,Branded Drug,S
Nitroglycerin 0.5 MG/ML [Tridil],Nitroglycerin 100MG/20ML VIAL,2000010031,mimiciv_drug_ndc,Drug,Prescription Drug,19117574,Maps to,Mapped from,nitroglycerin 0.5 MG/ML [Tridil],Drug,RxNorm,Branded Drug Comp,S
Ampicillin,Ampicillin Sodium 2g Vial,2000010032,mimiciv_drug_ndc,Drug,Prescription Drug,1717327,Maps to,Mapped from,ampicillin,Drug,RxNorm,Ingredient,S
Ketorolac Tromethamine 4 MG/ML Ophthalmic Solution [Acular],Acular LS 0.4 % Eye Drops,2000010033,mimiciv_drug_ndc,Drug,Prescription Drug,40164856,Maps to,Mapped from,ketorolac tromethamine 4 MG/ML Ophthalmic Solution [Acular],Drug,RxNorm,Branded Drug,S
Medium chain triglycerides,Medium Chain Triglycerides 0,2000010034,mimiciv_drug_ndc,Drug,Prescription Drug,42899398,Maps to,Mapped from,medium chain triglycerides,Drug,RxNorm,Ingredient,S
Hydromorphone,HYDROmorphone (Dilaudid),2000010035,mimiciv_drug_ndc,Drug,Prescription Drug,1126658,Maps to,Mapped from,hydromorphone,Drug,RxNorm,Ingredient,S
bimatoprost 0.1 MG/ML [Lumigan],Lumigan 0.01% 0.01%,2000010036,mimiciv_drug_ndc,Drug,Prescription Drug,40226431,Maps to,Mapped from,bimatoprost 0.1 MG/ML [Lumigan],Drug,RxNorm,Branded Drug Comp,S
Vasopressin (USP),Vasopressin,2000010037,mimiciv_drug_ndc,Drug,Prescription Drug,1507835,Maps to,Mapped from,vasopressin (USP),Drug,RxNorm,Ingredient,S
Levothyroxine Sodium 0.15 MG Oral Tablet [Synthroid],Synthroid 150 mcg Tab,2000010038,mimiciv_drug_ndc,Drug,Prescription Drug,40175059,Maps to,Mapped from,levothyroxine sodium 0.15 MG Oral Tablet [Synthroid],Drug,RxNorm,Branded Drug,S
potassium citrate 10 MEQ,potassium citrate 10 meq,2000010039,mimiciv_drug_ndc,Drug,Prescription Drug,976606,Maps to,Mapped from,potassium citrate 10 MEQ,Drug,RxNorm,Clinical Drug Comp,S
Clindamycin 600 MG,Clindamycin 600MG PREMIX,2000010040,mimiciv_drug_ndc,Drug,Prescription Drug,19109384,Maps to,Mapped from,clindamycin 600 MG,Drug,RxNorm,Clinical Drug Comp,S
Metoprolol,Metoprolol,2000010041,mimiciv_drug_ndc,Drug,Prescription Drug,1307046,Maps to,Mapped from,metoprolol,Drug,RxNorm,Ingredient,S
Ketorolac Tromethamine 5 MG/ML Ophthalmic Solution [Acular],Acular 0.5 % Eye Drops,2000010042,mimiciv_drug_ndc,Drug,Prescription Drug,40164864,Maps to,Mapped from,ketorolac tromethamine 5 MG/ML Ophthalmic Solution [Acular],Drug,RxNorm,Branded Drug,S
Maprotiline Hydrochloride 25 MG,Maprotiline HCl 25mg caps,2000010043,mimiciv_drug_ndc,Drug,Prescription Drug,42800983,Maps to,Mapped from,maprotiline hydrochloride 25 MG,Drug,RxNorm,Clinical Drug Comp,S
Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG [Benicar HCT],BENICAR HCT 20-12.5 mg,2000010044,mimiciv_drug_ndc,Drug,Prescription Drug,19135232,Maps to,Mapped from,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG [Benicar HCT],Drug,RxNorm,Branded Drug Comp,S
norethindrone acetate 5 MG Oral Tablet [Aygestin],Aygestin 5 mg Tab,2000010045,mimiciv_drug_ndc,Drug,Prescription Drug,40224823,Maps to,Mapped from,norethindrone acetate 5 MG Oral Tablet [Aygestin],Drug,RxNorm,Branded Drug,S
Diltiazem,Diltiazem,2000010046,mimiciv_drug_ndc,Drug,Prescription Drug,1328165,Maps to,Mapped from,diltiazem,Drug,RxNorm,Ingredient,S
Etanercept,Etanercept 25 mg Sub-Q Kit,2000010047,mimiciv_drug_ndc,Drug,Prescription Drug,1151789,Maps to,Mapped from,etanercept,Drug,RxNorm,Ingredient,S
Coenzyme Q10,Coenzyme Q10 900 mg,2000010048,mimiciv_drug_ndc,Drug,Prescription Drug,1351115,Maps to,Mapped from,ubidecarenone,Drug,RxNorm,Ingredient,S
Dopamine,DOPamine,2000010049,mimiciv_drug_ndc,Drug,Prescription Drug,1337860,Maps to,Mapped from,dopamine,Drug,RxNorm,Ingredient,S
Tetrabenazine 25 MG Oral Tablet [Xenazine],Xenazine 25 mg tablets,2000010050,mimiciv_drug_ndc,Drug,Prescription Drug,19131890,Maps to,Mapped from,tetrabenazine 25 MG Oral Tablet [Xenazine],Drug,RxNorm,Branded Drug,S
Vancomycin 250 MG [Vancocin],Vancocin 250 mg,2000010051,mimiciv_drug_ndc,Drug,Prescription Drug,19117668,Maps to,Mapped from,vancomycin 250 MG [Vancocin],Drug,RxNorm,Branded Drug Comp,S
Riboflavin 50 MG,Riboflavin 50mg,2000010052,mimiciv_drug_ndc,Drug,Prescription Drug,19062923,Maps to,Mapped from,riboflavin 50 MG,Drug,RxNorm,Clinical Drug Comp,S
formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera],Dulera (mometasone-formoterol) 200-5mcg/actuation 200 mcg-5 mcg/actuation HFA Aerosol Inhaler,2000010053,mimiciv_drug_ndc,Drug,Prescription Drug,42902603,Maps to,Mapped from,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera],Drug,RxNorm,Branded Drug,S
efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG [Atripla],ATRIPLA 600-200-300 mg,2000010054,mimiciv_drug_ndc,Drug,Prescription Drug,19124373,Maps to,Mapped from,efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG [Atripla],Drug,RxNorm,Branded Drug Comp,S
efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG [Atripla],ATRIPLA 600-200-300 mg,2000010055,mimiciv_drug_ndc,Drug,Prescription Drug,19124373,Maps to,Mapped from,efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG [Atripla],Drug,RxNorm,Branded Drug Comp,S
rasagiline 1 MG [Azilect],Azilect 1mg,2000010056,mimiciv_drug_ndc,Drug,Prescription Drug,19089084,Maps to,Mapped from,rasagiline 1 MG [Azilect],Drug,RxNorm,Branded Drug Comp,S
Acetaminophen 650 MG [Tylenol],Tylenol Arthritis 650 mg Tab,2000010057,mimiciv_drug_ndc,Drug,Prescription Drug,19042362,Maps to,Mapped from,acetaminophen 650 MG [Tylenol],Drug,RxNorm,Branded Drug Comp,S
Phenytoin,Phenytoin Sodium,2000010058,mimiciv_drug_ndc,Drug,Prescription Drug,740910,Maps to,Mapped from,phenytoin,Drug,RxNorm,Ingredient,S
Lidocaine 10 MG/ML,LIDOCAINE 1% (W/Presv.),2000010059,mimiciv_drug_ndc,Drug,Prescription Drug,990243,Maps to,Mapped from,lidocaine 10 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
Melatonin 3 MG,Melatonin 3 mg,2000010060,mimiciv_drug_ndc,Drug,Prescription Drug,19083332,Maps to,Mapped from,melatonin 3 MG,Drug,RxNorm,Clinical Drug Comp,S
lenalidomide 10 MG [Revlimid],REVLIMID 10 mg Cap,2000010061,mimiciv_drug_ndc,Drug,Prescription Drug,19025426,Maps to,Mapped from,lenalidomide 10 MG [Revlimid],Drug,RxNorm,Branded Drug Comp,S
Brimonidine tartrate 1 MG/ML,brimonidine 0.1 % Eye Drops,2000010062,mimiciv_drug_ndc,Drug,Prescription Drug,40164129,Maps to,Mapped from,brimonidine tartrate 1 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
nebivolol 5 MG [Bystolic],Bystolic 5mg,2000010063,mimiciv_drug_ndc,Drug,Prescription Drug,19021528,Maps to,Mapped from,nebivolol 5 MG [Bystolic],Drug,RxNorm,Branded Drug Comp,S
mesalamine,Mesalamine Desensitization 200 mg / 200 mL,2000010064,mimiciv_drug_ndc,Drug,Prescription Drug,968426,Maps to,Mapped from,mesalamine,Drug,RxNorm,Ingredient,S
"Estrogens, Conjugated (USP) 0.625 MG/ML Vaginal Cream [Premarin]",Premarin 0.625 mg/gram Vaginal Cream,2000010065,mimiciv_drug_ndc,Drug,Prescription Drug,1549218,Maps to,Mapped from,"estrogens, conjugated (USP) 0.625 MG/ML Vaginal Cream [Premarin]",Drug,RxNorm,Branded Drug,S
Ipratropium,Ipratropium Bromide Neb,2000010066,mimiciv_drug_ndc,Drug,Prescription Drug,1112921,Maps to,Mapped from,ipratropium,Drug,RxNorm,Ingredient,S
Hydromorphone,HYDROmorphone Solution 20mg/ml,2000010067,mimiciv_drug_ndc,Drug,Prescription Drug,1126658,Maps to,Mapped from,hydromorphone,Drug,RxNorm,Ingredient,S
Fluoxetine 20 MG [Prozac],Prozac 20 mg Cap,2000010068,mimiciv_drug_ndc,Drug,Prescription Drug,19080281,Maps to,Mapped from,fluoxetine 20 MG [Prozac],Drug,RxNorm,Branded Drug Comp,S
Levalbuterol 0.417 MG/ML [Xopenex],Xopenex 1.25 MG/3 ML SOL,2000010069,mimiciv_drug_ndc,Drug,Prescription Drug,19100309,Maps to,Mapped from,levalbuterol 0.417 MG/ML [Xopenex],Drug,RxNorm,Branded Drug Comp,S
2.5 ML defibrotide sodium 80 MG/ML Injection,Defibrotide (IND) 80 mg / mL - 2.5 mL Amp,2000010070,mimiciv_drug_ndc,Drug,Prescription Drug,35603976,Maps to,Mapped from,2.5 ML defibrotide sodium 80 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S
abiraterone acetate 250 MG [Zytiga],Zytiga (Abiraterone)  250 mg,2000010071,mimiciv_drug_ndc,Drug,Prescription Drug,40239062,Maps to,Mapped from,abiraterone acetate 250 MG [Zytiga],Drug,RxNorm,Branded Drug Comp,S
lamotrigine 150 MG [Lamictal],LaMICtal (Brand Name) 150 mg,2000010072,mimiciv_drug_ndc,Drug,Prescription Drug,19118045,Maps to,Mapped from,lamotrigine 150 MG [Lamictal],Drug,RxNorm,Branded Drug Comp,S
insulin detemir Injectable Solution [Levemir],Levemir insulin vial,2000010073,mimiciv_drug_ndc,Drug,Prescription Drug,40130712,Maps to,Mapped from,insulin detemir Injectable Solution [Levemir],Drug,RxNorm,Branded Drug Form,S
Furosemide,FUROSEMIDE,2000010074,mimiciv_drug_ndc,Drug,Prescription Drug,956874,Maps to,Mapped from,furosemide,Drug,RxNorm,Ingredient,S
Naproxen sodium 220 MG [Aleve],Aleve 220 mg,2000010075,mimiciv_drug_ndc,Drug,Prescription Drug,19053149,Maps to,Mapped from,naproxen sodium 220 MG [Aleve],Drug,RxNorm,Branded Drug Comp,S
Levalbuterol 0.417 MG/ML,Levalbuterol Neb 1.25 mg/3ml,2000010076,mimiciv_drug_ndc,Drug,Prescription Drug,1192244,Maps to,Mapped from,levalbuterol 0.417 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
leflunomide 10 MG,Leflunomide 10 mg,2000010077,mimiciv_drug_ndc,Drug,Prescription Drug,1101925,Maps to,Mapped from,leflunomide 10 MG,Drug,RxNorm,Clinical Drug Comp,S
risedronate sodium 5 MG [Actonel],Actonel 5mg,2000010078,mimiciv_drug_ndc,Drug,Prescription Drug,40174500,Maps to,Mapped from,risedronate sodium 5 MG [Actonel],Drug,RxNorm,Branded Drug Comp,S
Magnesium Chloride / Sodium Bicarbonate / Sodium Chloride Injectable Solution [Normocarb HF 25],NORMOCARB DIALYSIS SOLUTION 3240 ML BAG,2000010079,mimiciv_drug_ndc,Drug,Prescription Drug,40161286,Maps to,Mapped from,magnesium chloride / sodium bicarbonate / sodium chloride Injectable Solution [Normocarb HF 25],Drug,RxNorm,Branded Drug Form,S
bromfenac 0.9 MG/ML Ophthalmic Solution [Xibrom],XIBROM 0.09 % Eye Drops,2000010080,mimiciv_drug_ndc,Drug,Prescription Drug,1139215,Maps to,Mapped from,bromfenac 0.9 MG/ML Ophthalmic Solution [Xibrom],Drug,RxNorm,Branded Drug,S
Danazol 100 MG,danazol 100MG,2000010081,mimiciv_drug_ndc,Drug,Prescription Drug,1511686,Maps to,Mapped from,danazol 100 MG,Drug,RxNorm,Clinical Drug Comp,S
efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG [Atripla],ATRIPLA 600-200-300,2000010082,mimiciv_drug_ndc,Drug,Prescription Drug,19124373,Maps to,Mapped from,efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG [Atripla],Drug,RxNorm,Branded Drug Comp,S
Riboflavin 50 MG,Riboflavin 50 mg,2000010083,mimiciv_drug_ndc,Drug,Prescription Drug,19062923,Maps to,Mapped from,riboflavin 50 MG,Drug,RxNorm,Clinical Drug Comp,S
degarelix 120 MG,degarelix 120 mg Sub-Q Soln,2000010084,mimiciv_drug_ndc,Drug,Prescription Drug,1718073,Maps to,Mapped from,degarelix 120 MG,Drug,RxNorm,Clinical Drug Comp,S
Epinephrine,EPINEPHrine,2000010085,mimiciv_drug_ndc,Drug,Prescription Drug,1343916,Maps to,Mapped from,epinephrine,Drug,RxNorm,Ingredient,S
Dutasteride 0.5 MG,Dutasteride 0.5MG,2000010086,mimiciv_drug_ndc,Drug,Prescription Drug,19097771,Maps to,Mapped from,dutasteride 0.5 MG,Drug,RxNorm,Clinical Drug Comp,S
Phenylephrine,Phenylephrine 2.5% opth 2.5%,2000010087,mimiciv_drug_ndc,Drug,Prescription Drug,1135766,Maps to,Mapped from,phenylephrine,Drug,RxNorm,Ingredient,S
erlotinib 150 MG [Tarceva],Erlotinib (Tarceva) 150 mg,2000010088,mimiciv_drug_ndc,Drug,Prescription Drug,40236072,Maps to,Mapped from,erlotinib 150 MG [Tarceva],Drug,RxNorm,Branded Drug Comp,S
varenicline 1 MG,Varenicline 1 mg,2000010089,mimiciv_drug_ndc,Drug,Prescription Drug,780445,Maps to,Mapped from,varenicline 1 MG,Drug,RxNorm,Clinical Drug Comp,S
darifenacin 15 MG Extended Release Oral Tablet [Enablex],"Enablex 15 mg tablet,extended release",2000010090,mimiciv_drug_ndc,Drug,Prescription Drug,19134734,Maps to,Mapped from,darifenacin 15 MG Extended Release Oral Tablet [Enablex],Drug,RxNorm,Branded Drug,S
Magnesium Chloride / Sodium Bicarbonate / Sodium Chloride Injectable Solution [Normocarb HF 25],Normocarb Dialysate 3240 ml Bag,2000010091,mimiciv_drug_ndc,Drug,Prescription Drug,40161286,Maps to,Mapped from,magnesium chloride / sodium bicarbonate / sodium chloride Injectable Solution [Normocarb HF 25],Drug,RxNorm,Branded Drug Form,S
Balsalazide disodium 750 MG,Balsalazide Disodium 750 mg,2000010092,mimiciv_drug_ndc,Drug,Prescription Drug,40168548,Maps to,Mapped from,balsalazide disodium 750 MG,Drug,RxNorm,Clinical Drug Comp,S
ranolazine 500 MG,Ranolazine 500,2000010093,mimiciv_drug_ndc,Drug,Prescription Drug,19123444,Maps to,Mapped from,ranolazine 500 MG,Drug,RxNorm,Clinical Drug Comp,S
Magnesium Sulfate 1.2 MEQ/ML,Magnesium Sulfate 1gm/2ml vial,2000010094,mimiciv_drug_ndc,Drug,Prescription Drug,19110661,Maps to,Mapped from,magnesium sulfate 1.2 MEQ/ML,Drug,RxNorm,Clinical Drug Comp,S
coenzyme Q10 100 MG Oral Capsule,Coenzyme Q10 100mg Capsule,2000010095,mimiciv_drug_ndc,Drug,Prescription Drug,1351153,Maps to,Mapped from,ubidecarenone 100 MG Oral Capsule,Drug,RxNorm,Clinical Drug,S
Dutasteride 0.5 MG Oral Capsule [Avodart],Avodart 0.5 mg Cap,2000010096,mimiciv_drug_ndc,Drug,Prescription Drug,989486,Maps to,Mapped from,dutasteride 0.5 MG Oral Capsule [Avodart],Drug,RxNorm,Branded Drug,S
Rabeprazole sodium 20 MG [Aciphex],Aciphex 20 mg,2000010097,mimiciv_drug_ndc,Drug,Prescription Drug,40163287,Maps to,Mapped from,rabeprazole sodium 20 MG [Aciphex],Drug,RxNorm,Branded Drug Comp,S
Famotidine 20 MG,Famotidine 20mg Premix Bag,2000010098,mimiciv_drug_ndc,Drug,Prescription Drug,953120,Maps to,Mapped from,famotidine 20 MG,Drug,RxNorm,Clinical Drug Comp,S
ropinirole 4 MG [Requip],Requip XL 4,2000010099,mimiciv_drug_ndc,Drug,Prescription Drug,19023243,Maps to,Mapped from,ropinirole 4 MG [Requip],Drug,RxNorm,Branded Drug Comp,S
Sodium Chloride Prefilled Syringe,Syringe (0.9% Sodium Chloride) 1 Syringe,2000010100,mimiciv_drug_ndc,Drug,Prescription Drug,40141424,Maps to,Mapped from,sodium chloride Prefilled Syringe,Drug,RxNorm,Clinical Drug Form,S
leflunomide 20 MG,Leflunomide 20 mg,2000010101,mimiciv_drug_ndc,Drug,Prescription Drug,1101926,Maps to,Mapped from,leflunomide 20 MG,Drug,RxNorm,Clinical Drug Comp,S
aluminum hydroxide / magnesium hydroxide / simethicone Oral Suspension,mylanta 1,2000010102,mimiciv_drug_ndc,Drug,Prescription Drug,40007739,Maps to,Mapped from,aluminum hydroxide / magnesium hydroxide / simethicone Oral Suspension,Drug,RxNorm,Clinical Drug Form,S
pegfilgrastim 10 MG/ML [Neulasta],Neulasta 6,2000010103,mimiciv_drug_ndc,Drug,Prescription Drug,19120970,Maps to,Mapped from,pegfilgrastim 10 MG/ML [Neulasta],Drug,RxNorm,Branded Drug Comp,S
cornstarch,Corn Starch (Bulk) 35gm,2000010104,mimiciv_drug_ndc,Drug,Prescription Drug,40230159,Maps to,Mapped from,corn starch,Drug,RxNorm,Ingredient,S
rivastigmine 0.396 MG/HR [Exelon],Exelon 9.5 mg/24 hour Transderm 24 hr Patch,2000010105,mimiciv_drug_ndc,Drug,Prescription Drug,19127050,Maps to,Mapped from,rivastigmine 0.396 MG/HR [Exelon],Drug,RxNorm,Branded Drug Comp,S
Norepinephrine 1 MG/ML,Norepinephrine 4MG/4ML AMP,2000010106,mimiciv_drug_ndc,Drug,Prescription Drug,1321364,Maps to,Mapped from,norepinephrine 1 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
efavirenz / emtricitabine / tenofovir disoproxil Oral Tablet [Atripla],ATRIPLA 1,2000010107,mimiciv_drug_ndc,Drug,Prescription Drug,40134708,Maps to,Mapped from,efavirenz / emtricitabine / tenofovir disoproxil Oral Tablet [Atripla],Drug,RxNorm,Branded Drug Form,S
erlotinib 150 MG Oral Tablet [Tarceva],Erlotinib (Tarceva) 150 mg Tab,2000010108,mimiciv_drug_ndc,Drug,Prescription Drug,40236071,Maps to,Mapped from,erlotinib 150 MG Oral Tablet [Tarceva],Drug,RxNorm,Branded Drug,S
Sodium Bicarbonate,Sodium Bicarbonate,2000010109,mimiciv_drug_ndc,Drug,Prescription Drug,939506,Maps to,Mapped from,sodium bicarbonate,Drug,RxNorm,Ingredient,S
Ondansetron,Ondansetron,2000010110,mimiciv_drug_ndc,Drug,Prescription Drug,1000560,Maps to,Mapped from,ondansetron,Drug,RxNorm,Ingredient,S
Phenytoin sodium 100 MG Oral Capsule [Dilantin],Dilantin (phenytoin sodium ER) 100mg capsule,2000010111,mimiciv_drug_ndc,Drug,Prescription Drug,40163212,Maps to,Mapped from,phenytoin sodium 100 MG Oral Capsule [Dilantin],Drug,RxNorm,Branded Drug,S
